City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
219,kadinhani,38.2397,32.2114,84.83,26,0,10.02,TR,1689960099
220,ceeldheer,3.8488,47.1806,78.73,79,89,23.82,SO,1689960099
221,oxelosund,58.6706,17.1015,64.78,68,20,8.05,SE,1689960099
222,kudat,6.8837,116.8477,77.29,88,40,3.44,MY,1689960099
223,san patricio,28.017,-97.5169,95.07,40,8,8.84,US,1689959998
224,hilo,19.7297,-155.09,73.13,86,75,8.05,US,1689959660
225,inhambane,-23.865,35.3833,67.98,68,40,8.05,MZ,1689960100
226,mirpur mathelo,28.0227,69.5489,99.66,42,35,13.51,PK,1689960100
227,al qaryatayn,34.2296,37.2407,82.17,33,0,10.89,SY,1689960100
228,kalmunai,7.4167,81.8167,84.43,52,99,11.48,LK,1689960100
229,mersa matruh,31.3525,27.2453,83.71,59,0,9.55,EG,1689960100
230,bechar,31.6167,-2.2167,107.92,7,40,9.22,DZ,1689960100
231,ketchikan,55.3422,-131.6461,61.27,88,100,5.75,US,1689960101
232,acarau,-2.8856,-40.12,87.57,49,6,18.59,BR,1689960101
233,west island,-12.1568,96.8225,76.98,78,40,16.11,CC,1689959678
234,inari,68.906,27.0288,52.0,75,96,13.89,FI,1689960101
235,buriya,30.15,77.35,89.62,56,98,3.04,IN,1689960101
236,vung tau,10.346,107.0843,79.02,88,100,15.17,VN,1689960101
237,holualoa,19.6228,-155.9522,78.87,90,100,4.0,US,1689959942
238,north bend,43.4065,-124.2243,70.27,88,100,11.5,US,1689960102
239,belmopan,17.25,-88.7667,86.38,89,100,3.02,BZ,1689959810
240,sarangani,5.4033,125.4636,81.59,80,80,9.48,PH,1689960102
241,long beach,33.767,-118.1892,91.33,76,0,9.22,US,1689960015
242,ulety,51.3572,112.4849,57.22,63,85,3.2,RU,1689960102
243,puerto ayora,-0.7393,-90.3518,85.96,88,84,5.99,EC,1689959711
244,colares,38.7992,-9.4469,75.45,62,20,18.01,PT,1689960103
245,buka,40.8108,69.1986,82.09,22,0,7.29,UZ,1689960103
246,falmouth,50.1544,-5.0711,64.98,59,75,10.36,GB,1689960103
247,chanika,-5.4167,38.0167,67.01,83,73,5.84,TZ,1689960103
248,greymouth,-42.4667,171.2,34.43,88,17,8.03,NZ,1689959850
249,kingscliff,-28.2667,153.5667,50.77,93,6,2.3,AU,1689960103
250,ust-tsilma,65.441,52.1498,67.33,70,72,3.8,RU,1689960104
251,wanning,18.8003,110.3967,81.01,87,22,1.79,CN,1689959718
252,goondiwindi,-28.55,150.3167,46.18,88,0,9.1,AU,1689960104
253,lianjiang,21.6467,110.2817,78.44,91,86,5.21,CN,1689960001
254,regina,50.4501,-104.6178,76.98,49,40,8.05,CA,1689960053
255,vavuniya,8.7514,80.4971,79.38,76,100,10.2,LK,1689960105
256,nikolayevsk-on-amure,53.1406,140.73,66.49,94,100,0.87,RU,1689960105
257,olinda,-8.0089,-34.8553,83.93,58,40,17.27,BR,1689960101
258,feijo,-8.1642,-70.3536,93.49,34,15,2.95,BR,1689960106
259,tateyama,34.9833,139.8667,73.53,89,23,10.2,JP,1689960106
260,dahab,28.501,34.5134,97.39,23,0,8.25,EG,1689960106
261,badger,64.8,-147.5333,66.0,79,20,0.0,US,1689959937
262,el abiodh sidi cheikh,32.893,0.5484,104.59,7,22,10.07,DZ,1689960107
263,ribeira brava,32.65,-17.0667,79.72,71,10,1.28,PT,1689960107
264,kayangel,8.0823,134.7173,83.44,78,98,15.66,PW,1689960107
265,port mathurin,-19.6833,63.4167,74.5,66,2,18.34,MU,1689959718
266,colonia,50.9333,6.95,69.96,56,0,6.91,DE,1689959962
267,shenjiamen,29.9576,122.298,79.77,92,100,19.84,CN,1689960107
268,el porvenir,13.7617,-87.3458,85.33,44,10,5.08,HN,1689960108
269,mizan teferi,6.9833,35.5833,60.62,97,100,2.19,ET,1689960108
270,riyadh,24.6877,46.7219,104.14,7,100,7.05,SA,1689959909
271,udachny,66.4167,112.4,61.45,82,53,8.88,RU,1689959702
272,arafat,21.3594,39.9664,98.6,17,57,7.31,SA,1689960108
273,hadibu,12.65,54.0333,78.85,77,100,21.54,YE,1689960108
274,alta sierra,35.7291,-118.5495,79.11,18,4,5.57,US,1689960109
275,ishigaki,24.3448,124.1572,82.53,83,20,6.91,JP,1689959840
276,fort mcmurray,56.7268,-111.381,74.79,68,0,2.3,CA,1689960109
277,uacu cungo,-11.3634,15.1208,75.69,29,15,5.35,AO,1689960109
278,ussel,45.55,2.3167,69.6,47,32,5.73,FR,1689960109
279,sitka,57.0531,-135.33,60.69,82,100,9.22,US,1689960035
280,zaozersk,69.4005,32.4476,47.89,84,100,17.76,RU,1689960031
281,rio grande,-32.035,-52.0986,77.11,82,40,14.67,BR,1689959924
282,sarikei,2.1167,111.5167,77.09,92,100,1.7,MY,1689960110
283,tambopata,-12.7333,-69.1833,87.69,58,20,2.3,PE,1689960110
284,datong,40.0936,113.2914,65.03,84,100,5.57,CN,1689960110
285,bari,41.1177,16.8512,102.54,37,0,6.91,IT,1689960073
286,karratha,-20.7377,116.8463,68.85,38,0,13.24,AU,1689960110
287,waddan,29.1614,16.139,100.27,12,0,14.88,LY,1689960110
288,port shepstone,-30.7414,30.455,63.01,69,85,21.36,ZA,1689960111
289,baiao,-2.7906,-49.6717,93.6,29,4,5.79,BR,1689960111
290,faxinal,-24.0003,-51.3194,74.34,52,0,8.05,BR,1689960090
291,khandyga,62.6667,135.6,55.11,96,100,2.28,RU,1689960016
292,jamjamal,35.5365,44.8317,93.29,11,0,9.28,IQ,1689960111
293,vegreville,53.5001,-112.0518,74.1,60,10,2.3,CA,1689960111
294,vernon,50.2581,-119.2691,87.3,28,66,3.44,CA,1689960020
295,royse city,32.9751,-96.3325,97.61,44,0,3.44,US,1689960112
296,kananga,-5.8958,22.4178,84.49,22,36,4.18,CD,1689960112
297,ta`u,-14.2336,-169.5144,80.28,84,31,8.7,AS,1689959991
298,tejen,37.3834,60.5054,91.94,13,0,9.91,TM,1689960112
299,maxixe,-23.8597,35.3472,67.82,68,40,8.05,MZ,1689960112
300,ambon,-3.6954,128.1814,79.88,95,40,4.61,ID,1689960112
301,bosanska krupa,44.8825,16.1514,83.97,67,27,0.45,BA,1689960113
302,hasaki,35.7333,140.8333,76.3,87,3,9.53,JP,1689960012
303,kingston,17.997,-76.7936,97.25,62,20,26.46,JM,1689960018
304,gornopravdinsk,60.05,69.9,61.93,90,75,5.14,RU,1689960113
305,klaksvik,62.2266,-6.589,56.32,92,32,10.38,FO,1689960113
306,praia da vitoria,38.7333,-27.0667,71.85,94,75,2.04,PT,1689959940
307,takoradi,4.8845,-1.7554,79.14,80,55,12.1,GH,1689960114
308,karachi,24.9056,67.0822,87.62,79,40,6.91,PK,1689959837
309,muynoq,43.7683,59.0214,83.98,38,61,9.28,UZ,1689960114
310,sao vicente,-23.9631,-46.3919,82.58,47,20,6.91,BR,1689960114
311,plastun,44.7561,136.2939,62.58,85,36,3.09,RU,1689960114
312,salalah,17.0151,54.0924,78.89,100,100,6.91,OM,1689960115
313,konarka,19.9,86.1167,82.8,87,95,9.82,IN,1689960115
314,kapuskasing,49.4169,-82.4331,66.29,52,40,8.05,CA,1689959855
315,narrabri,-30.3167,149.7833,38.52,87,0,6.96,AU,1689960115
316,kara-balta,42.8142,73.8481,76.51,44,55,8.48,KG,1689960115
317,tidjikja,18.5564,-11.4271,103.32,16,19,11.07,MR,1689960115
318,palmer,42.1584,-72.3287,80.65,70,100,6.91,US,1689960115
319,codrington,-38.2667,141.9667,48.04,84,99,11.14,AU,1689959803
320,ludvika,60.1496,15.1878,58.8,78,86,4.05,SE,1689960116
321,mildura,-34.2,142.15,45.07,84,5,5.91,AU,1689960116
322,ishurdi,24.1333,89.0833,81.97,87,96,11.86,BD,1689960116
323,severnoye,56.3491,78.3619,64.42,87,52,4.7,RU,1689960116
324,huinca renanco,-34.8404,-64.3758,67.48,43,100,4.65,AR,1689960116
325,cole harbour,44.6724,-63.4751,72.82,92,78,11.5,CA,1689960116
326,muroto-misakicho,33.2833,134.15,78.08,88,2,4.52,JP,1689960117
327,severo-yeniseyskiy,60.3725,93.0408,61.16,61,53,4.43,RU,1689959925
328,gorontalo,0.5412,123.0595,74.66,94,52,4.94,ID,1689960117
329,cooma,-36.2333,149.1333,29.17,92,8,2.33,AU,1689960117
330,vilyuysk,63.7553,121.6247,54.0,87,8,3.29,RU,1689960117
331,pisco,-13.7,-76.2167,67.01,88,75,8.05,PE,1689959981
332,amungan,15.3652,119.9582,81.21,81,73,3.8,PH,1689960019
333,brokopondo,4.75,-55.1667,85.59,61,34,1.39,SR,1689960118
334,kristiansund,63.1115,7.732,59.05,76,75,5.75,NO,1689960118
335,east london,-33.0153,27.9116,58.14,72,0,10.36,ZA,1689959965
336,puerto baquerizo moreno,-0.9,-89.6,83.39,70,40,9.22,EC,1689960118
337,polyarnyy,69.1989,33.4478,48.81,82,98,18.07,RU,1689960080
338,labrador city,52.9463,-66.9114,67.91,49,75,16.11,CA,1689960265
339,boende,-0.2167,20.8667,83.3,55,92,0.6,CD,1689960012
340,vorgashor,67.5833,63.95,68.31,74,76,4.16,RU,1689959928
341,nago,26.5881,127.9761,84.45,84,74,7.61,JP,1689960119
342,nchelenge,-9.3451,28.734,72.97,50,11,3.74,ZM,1689960119
343,mkushi,-13.6202,29.3939,64.4,55,5,9.6,ZM,1689960119
344,mangualde,40.6043,-7.7612,78.75,49,2,11.79,PT,1689960119
345,belmonte,-15.8631,-38.8828,73.4,84,94,16.75,BR,1689960119
346,viitasaari,63.0667,25.8667,59.94,89,100,4.12,FI,1689960119
347,viqueque,-8.8673,126.3658,72.57,75,47,1.95,TL,1689960120
348,oliver,49.1831,-119.5524,82.65,39,36,1.14,CA,1689959874
349,nouadhibou,20.931,-17.0347,76.98,69,1,25.32,MR,1689960120
350,kapa'a,22.0752,-159.319,80.92,86,75,18.41,US,1689960053
351,bardai,11.65,7.2333,79.45,57,100,3.42,NG,1689960120
352,tiznit,29.5833,-9.5,86.49,37,0,7.96,MA,1689960120
353,igarka,67.4667,86.5833,65.12,67,79,9.37,RU,1689960120
354,leo,11.1,-2.1,86.9,55,93,7.99,BF,1689960121
355,ad-damazin,11.7891,34.3592,81.36,69,89,9.26,SD,1689960121
356,bodo,67.28,14.405,59.77,88,75,4.61,NO,1689960121
